participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.73d8ba14-d5ff-4440-aacd-c67a050e277b.txt,"",10787,4373,16446,0,2023-10-04-20-32,2023-10-04-20-36,4
s.7ab25176-1df2-4a30-a3fa-f054d625532e.txt,"",6187,3475,2314,0,2023-10-04-23-48,2023-10-04-23-53,5
s.48a1ab62-abf2-4d5c-9dcd-dc7e97905bf4.txt,"",5133,3014,5795,0,2023-10-04-22-51,2023-10-04-22-55,4
s.558db967-ec7a-4fa7-a7e2-0a5f3b8b97cd.txt,"",4660,4690,4445,0,2023-10-04-20-51,2023-10-04-20-55,4
s.211956e5-7cfd-40a6-92ec-3695db00b6d3.txt,"",7904,5802,8194,0,2023-10-04-20-04,2023-10-04-20-08,4
s.7094ab5d-0870-4c89-8a68-d3f8814d4fbc.txt,"",4600,2896,3226,0,2023-10-04-22-22,2023-10-04-22-26,4
s.543e022d-c2ac-40ae-8061-8a099e073042.txt,"",8257,6267,4422,0,2023-10-04-21-02,2023-10-04-21-06,4
s.eabd457b-786e-49e1-8ee0-35a0939ad7c8.txt,"",7018,7226,3804,0,2023-10-04-22-33,2023-10-04-22-37,4
s.a2c9e267-b0f0-42b4-b415-411f8d637b79.txt,"",19061,11647,6320,0,2023-10-04-19-02,2023-10-04-19-06,4
s.c4b310ba-a1b4-4f14-815e-eb8efda9c779.txt,"",5634,3002,2460,0,2023-10-04-20-21,2023-10-04-20-25,4
s.241a5771-b9fd-445c-b57f-3410cda0e1f7.txt,"",4004,4504,2839,0,2023-10-04-21-20,2023-10-04-21-24,4
s.f0a6800f-0cfb-4a57-b3e7-b223570a456b.txt,"",20413,7070,7245,0,2023-10-04-19-33,2023-10-04-19-37,4
s.ef4f641f-954d-4b0b-a67a-06387ea97f18.txt,"",8808,4173,3107,0,2023-10-04-23-01,2023-10-04-23-05,4
s.f1035ed5-b360-45c7-8ab8-afe18346028b.txt,"",4825,2619,7184,0,2023-10-04-23-19,2023-10-04-23-23,4
s.862586cc-8078-4571-b40d-c1eed5617d3d.txt,"",7872,4688,4691,0,2023-10-04-19-22,2023-10-04-19-26,4
s.b57903de-c4e3-4280-8459-44528aec3960.txt,"",15070,12659,5075,0,2023-10-04-18-33,2023-10-04-18-37,4
s.e09029ef-e869-444c-830d-5128d0723ede.txt,"",7536,4616,3126,0,2023-10-04-22-02,2023-10-04-22-06,4
s.7d43e440-27d6-4895-8fdc-5137e80c08e8.txt,"",8641,6664,6539,0,2023-10-04-21-31,2023-10-04-21-35,4
s.ddb8fa3c-dc70-4488-82bf-71d10c0eec47.txt,"",5536,4152,2727,0,2023-10-04-19-53,2023-10-04-19-57,4
s.842ed987-1fee-440f-af1d-0a5f6ff04a21.txt,"",6055,3549,1976,0,2023-10-04-21-51,2023-10-04-21-55,4
