participant,N_backexperiment_1,NASA_TLX_1,NASA_TLX_2,NASA_TLX_3,Momentary_Affect_Scale_1_1,Momentary_Affect_Scale_2_1,TIME_start,TIME_end,TIME_total
s.4718412d-7393-474e-844b-199f58c5390a.txt,N_back.2023-08-14-2039.data.4718412d-7393-474e-844b-199f58c5390a.txt,12,8,14,7,3,2023-08-14-20-35,2023-08-14-20-39,4
s.d2497489-f77e-4501-97f7-7ed23e71e6e9.txt,N_back.2023-08-14-2207.data.d2497489-f77e-4501-97f7-7ed23e71e6e9.txt,12,13,18,7,1,2023-08-14-22-03,2023-08-14-22-07,4
s.2ec5f89a-9c45-43a9-b056-30913090ad06.txt,N_back.2023-08-14-1836.data.2ec5f89a-9c45-43a9-b056-30913090ad06.txt,7,12,20,8,3,2023-08-14-18-32,2023-08-14-18-37,5
s.9b05cb49-59f5-495b-9773-6ecb85a007f7.txt,N_back.2023-08-14-2138.data.9b05cb49-59f5-495b-9773-6ecb85a007f7.txt,12,6,15,6,2,2023-08-14-21-34,2023-08-14-21-38,4
s.6a78f656-57b3-433e-9056-47154bdd752d.txt,N_back.2023-08-14-2125.data.6a78f656-57b3-433e-9056-47154bdd752d.txt,12,14,9,5,5,2023-08-14-21-21,2023-08-14-21-26,5
s.41f5bede-36b1-4296-a7b7-f02e974a1fe6.txt,N_back.2023-08-14-2057.data.41f5bede-36b1-4296-a7b7-f02e974a1fe6.txt,11,11,8,6,7,2023-08-14-20-51,2023-08-14-20-57,6
s.c3d951b2-ab6d-4f43-82b2-a463738a6c69.txt,N_back.2023-08-14-1906.data.c3d951b2-ab6d-4f43-82b2-a463738a6c69.txt,10,9,7,6,7,2023-08-14-19-02,2023-08-14-19-06,4
s.12b027e5-f321-48ad-9985-76f6c87b2bb2.txt,N_back.2023-08-14-2009.data.12b027e5-f321-48ad-9985-76f6c87b2bb2.txt,7,7,15,5,6,2023-08-14-20-05,2023-08-14-20-09,4
s.fd25fee4-7df4-4012-924a-51b7f11a1207.txt,N_back.2023-08-14-2311.data.fd25fee4-7df4-4012-924a-51b7f11a1207.txt,14,7,17,7,1,2023-08-14-23-07,2023-08-14-23-11,4
s.227a0a4b-d112-44eb-8105-3ef497c5b865.txt,N_back.2023-08-14-2237.data.227a0a4b-d112-44eb-8105-3ef497c5b865.txt,17,8,20,8,1,2023-08-14-22-33,2023-08-14-22-38,5
s.1e994715-f695-47e6-86f2-42cd7153193a.txt,N_back.2023-08-14-2300.data.1e994715-f695-47e6-86f2-42cd7153193a.txt,9,8,5,3,4,2023-08-14-22-56,2023-08-14-23-00,4
s.9da155fb-1eb4-4837-9997-1c247ec655ec.txt,N_back.2023-08-14-2356.data.9da155fb-1eb4-4837-9997-1c247ec655ec.txt,10,10,7,5,3,2023-08-14-23-53,2023-08-14-23-56,3
s.3a50df0d-01b0-445b-a748-5a9d361e4048.txt,N_back.2023-08-14-2157.data.3a50df0d-01b0-445b-a748-5a9d361e4048.txt,10,11,6,4,5,2023-08-14-21-53,2023-08-14-21-57,4
s.f58b04ae-88d7-46b7-8b4f-db3bf5fb15e7.txt,N_back.2023-08-14-2326.data.f58b04ae-88d7-46b7-8b4f-db3bf5fb15e7.txt,7,11,6,4,6,2023-08-14-23-22,2023-08-14-23-26,4
s.75c60e4b-3237-4325-ac2c-dda25b6ed918.txt,N_back.2023-08-14-2108.data.75c60e4b-3237-4325-ac2c-dda25b6ed918.txt,13,7,17,9,2,2023-08-14-21-04,2023-08-14-21-08,4
s.0787ae75-3974-4426-80b6-91ed5bd9d82f.txt,N_back.2023-08-14-1936.data.0787ae75-3974-4426-80b6-91ed5bd9d82f.txt,8,7,10,7,5,2023-08-14-19-32,2023-08-14-19-36,4
s.69e8c8fc-9e27-4197-9e39-83dc515dac08.txt,N_back.2023-08-14-2227.data.69e8c8fc-9e27-4197-9e39-83dc515dac08.txt,10,10,5,4,6,2023-08-14-22-23,2023-08-14-22-27,4
s.04eb8844-44b4-49a0-8af0-47cb8e309680.txt,N_back.2023-08-15-0025.data.04eb8844-44b4-49a0-8af0-47cb8e309680.txt,9,9,8,4,3,2023-08-15-00-21,2023-08-15-00-25,4
s.a0cbe6df-496b-44c0-a590-6d837dcdab9f.txt,N_back.2023-08-14-2001.data.a0cbe6df-496b-44c0-a590-6d837dcdab9f.txt,12,17,16,8,7,2023-08-14-19-54,2023-08-14-20-02,8
s.dd71ed16-ed33-4794-83fa-818715536c44.txt,N_back.2023-08-14-2028.data.dd71ed16-ed33-4794-83fa-818715536c44.txt,11,13,7,8,9,2023-08-14-20-24,2023-08-14-20-29,5
