participant,N_backexperiment,NASA_TLX,Momentary_Affect_Scale_1,Momentary_Affect_Scale_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.4ddbc09f-0b6e-43a3-9471-10a806c607c5.txt,"",5707,2633,3502,0,2023-08-21-22-22,2023-08-21-22-26,4
s.f4af5d71-97bf-4421-a917-fc25a161634d.txt,"",11489,4946,2936,0,2023-08-21-19-52,2023-08-21-19-56,4
s.cf8adb7c-b5bd-4483-800b-becfc9c35334.txt,"",7940,2958,1941,0,2023-08-21-20-21,2023-08-21-20-25,4
s.4ad444e0-a082-4226-b92a-7a59fa8cb9a7.txt,"",8389,2976,4600,0,2023-08-21-19-02,2023-08-21-19-06,4
s.5e3fad71-524f-41c8-a521-2ce8c562e1ca.txt,"",6544,6292,3201,0,2023-08-21-19-32,2023-08-21-19-36,4
s.09b05f53-9481-4c8b-91a5-8df85eb1da10.txt,"",7586,2602,1398,0,2023-08-21-21-22,2023-08-21-21-26,4
s.7766681a-22f9-4aea-9665-bac3262d021d.txt,"",5197,2926,3492,0,2023-08-22-00-22,2023-08-22-00-26,4
s.ac328ee3-f5e3-485c-a867-9ee6f90a30d2.txt,"",6923,9739,3014,0,2023-08-21-22-32,2023-08-21-22-36,4
s.0ce6e630-f0c2-42df-b7bb-4ba8d61699d4.txt,"",13264,3005,5547,0,2023-08-21-18-31,2023-08-21-18-36,5
s.9e7ea122-1a03-492f-b7fd-822d323b9069.txt,"",6824,3080,3720,0,2023-08-21-23-22,2023-08-21-23-25,3
s.c0bae0d6-cb16-4318-9140-093ea3148c49.txt,"",7865,3451,2038,0,2023-08-21-23-05,2023-08-21-23-09,4
s.bbf19d36-4da1-40ee-8a40-4c1253659cd1.txt,"",8080,2816,4764,0,2023-08-21-21-32,2023-08-21-21-36,4
s.c80e3b08-1922-42de-94ab-f2a9622fa531.txt,"",8738,3413,3828,0,2023-08-21-20-32,2023-08-21-20-37,5
s.dab5bf6d-763c-4e5d-b4cb-bc190e225cd9.txt,"",10468,2574,3054,0,2023-08-21-21-03,2023-08-21-21-07,4
s.aaac4091-7799-42e5-9efc-625f7a36b0f8.txt,"",4076,2954,1783,0,2023-08-21-23-51,2023-08-21-23-54,3
s.099ed9e0-2e2f-4cf4-8626-9f69394916ef.txt,"",5357,3700,5628,0,2023-08-21-21-52,2023-08-21-21-56,4
s.35b90340-bf7f-420f-9efe-47ed01c2b721.txt,"",9350,3831,3945,0,2023-08-21-20-03,2023-08-21-20-07,4
s.67a1cea5-1c66-4980-969b-05b4a4cf79da.txt,"",8167,3901,1445,0,2023-08-21-22-02,2023-08-21-22-06,4
s.eaed7add-324a-44dc-9abf-379c81685355.txt,"",15817,2430,2333,0,2023-08-21-20-53,2023-08-21-20-57,4
s.3c6cb622-c45e-4377-b2ba-dc0336f94172.txt,"",9834,3095,2719,0,2023-08-21-22-53,2023-08-21-22-58,5
